Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00383149781672339,-8.90176803827834E-06,0.00098534314847487,0,0,0,0.154876147614574,5.72237172613389E-05,-1.04162035199422E-08,-3.9259029824417E-07,4.7371081001121E-05,1.46730564833213E-09,7.19614573061766E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/base_link.STL,,FR04-E120-1;FR04-E150-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-6/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-6/ASM0002_ASM-1/PRT0006-1;FR04-E175-1,Coordinate System1,Axis_joint_203,joint_20,continuous,0.00025,0,0.017247,3.1416,0,-1.6319,base_linK,0,0,1,,,,,,,,,,,,0
right_arm_link_1,-6.07043906669658E-08,-0.00923206723925009,0.00517864249850522,0,0,0,0.00402029367652139,8.53462226825597E-07,1.70481192759616E-12,-1.05162131712767E-12,1.77130321667596E-06,2.51193243950453E-07,1.69099459342747E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_arm_link_1.STL,,FR04-H102-2,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.00874999999999913,-0.0564904194241639,0.00275000000000069,3.14159265358979,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,0
right_arm_link_2,-0.000528170386428523,-0.0352518252774793,0.00311828556966419,0,0,0,0.0866430294972451,2.18652500161555E-05,-8.94831167760346E-09,-1.89458955070911E-07,1.84666066901423E-05,2.01342587194597E-07,1.66635512730656E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-8/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-8/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0006-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.0230095805758343,0.0179999999999891,-1.5707963267949,0,1.5707963267949,right_arm_link_1,0,0,1,,,,,,,,,,,,0
right_arm_link_3,-0.00609948658909115,0.0423952309716982,0.0167593854637861,0,0,0,0.0525573198575287,1.07463849254256E-05,-2.37520149434242E-08,1.90925563560242E-07,1.44872222504625E-05,-2.49725586094478E-07,1.43910080504649E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_arm_link_3.STL,,BASE_GRIPPER-1;FR04-H102-3;AX-12-18-A-24/ASM0002_ASM-1/PRT0001-1;FR04-E170-2;AX-12-18-A-24/ASM0002_ASM-1/PRT0006-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182000000000002,1.5707963267949,0,0,right_arm_link_2,1,0,0,,,,,,,,,,,,0
right_gripper,0.0179998120299161,-0.00624035209800897,0.0361347174477128,0,0,0,0.00882433124339025,7.46132223751772E-06,-2.18389626669022E-11,-7.86332277686132E-12,9.36079581691155E-06,-1.88054352881295E-06,4.68291021353323E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_gripper.STL,,FR04-E171-2,Origin_joint_7,Axis_joint_7,joint_7,continuous,-0.0225,0.0425,0,1.5707963267949,-1.5707963267949,0,right_arm_link_3,1,0,0,,,,,,,,,,,,0
left_arm_link_1,-6.07043894040871E-08,-0.00923206723925155,0.00517864249850558,0,0,0,0.0040202936765214,8.53462226825601E-07,1.7048119315615E-12,-1.05162131339197E-12,1.77130321667596E-06,2.51193243950454E-07,1.69099459342747E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_arm_link_1.STL,,FR04-H102-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0.00874999999999915,0.0564904194241643,0.00275,3.14159265358979,0,0,base_link,0,1,0,,,,,,,,,,,,0
left_arm_link_2,0.000496348530981336,-0.0352836471329275,0.00311828556966447,0,0,0,0.086643029497245,2.18652500161555E-05,-8.94831167760643E-09,1.92394275517006E-07,1.84666066901423E-05,1.80510643393307E-07,1.66635512730655E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_arm_link_2.STL,,FR04-SC101-4;AX-12-18-A-7/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-7/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0006-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230095805758357,0.0179999999999895,-1.5707963267949,0,-1.5707963267949,left_arm_link_1,0,0,1,,,,,,,,,,,,0
left_arm_link_3,0.00609949587607733,0.0423427712578516,0.0167593854607104,0,0,0,0.0525573198575285,1.07463849254255E-05,2.91666151826584E-09,-1.90927667027654E-07,1.44872222504624E-05,-2.52660901806433E-07,1.43910080504648E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_arm_link_3.STL,,BASE_GRIPPER-2;FR04-H102-4;AX-12-18-A-25/ASM0002_ASM-1/PRT0001-1;FR04-E170-1;AX-12-18-A-25/ASM0002_ASM-1/PRT0006-1,Origin_joint_6,Axis_joint_6,joint_6,continuous,0,-0.0573999999999997,0.0182000000000009,1.5707963267949,0,0,left_arm_link_2,1,0,0,,,,,,,,,,,,0
left_gripper,-0.0180001879700938,-0.00624035209800404,0.0361347174477274,0,0,0,0.00882433124339503,7.4613222375218E-06,-2.18389618320805E-11,-7.86332019011804E-12,9.36079581691706E-06,-1.88054352881413E-06,4.68291021353546E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_gripper.STL,,FR04-E171-1,Origin_joint_8,Axis_joint_8,joint_8,continuous,0.0225000000000024,0.0424999999999999,0,1.5707963267949,1.5707963267949,0,left_arm_link_3,1,0,0,,,,,,,,,,,,0
torso_link,2.63162408644171E-08,-0.0210909555658786,-0.00131922984856177,0,0,0,0.0150306588580905,1.22995746902599E-05,-5.36004121774907E-12,4.57562053024969E-15,1.26743899445148E-05,-4.8416913651633E-07,1.42781332295548E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/torso_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/torso_link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,continuous,0.00824999999999999,0,-0.02375,1.5707963267949,0,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,0
right_leg_link_1,-0.0130433690693261,-0.00232565548787902,0.000953577437985006,0,0,0,0.0465444227419532,7.24109241174825E-06,5.52407893798032E-08,1.90926615293957E-07,1.32071311548595E-05,-1.46766022304706E-09,1.18450916288587E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0006-1,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.016,-0.0535000000000009,0,0,0,0,torso_link,0,0,1,,,,,,,,,,,,0
right_leg_link_2,-0.0129843075496472,-0.0436689123978273,-0.000466568121460564,0,0,0,0.087395965925078,2.07330711638692E-05,1.89458955070841E-07,-1.92394275516861E-07,1.89034952338267E-05,-7.78205227092139E-08,1.89379045179429E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_2.STL,,FR04-SC110-1;AX-12-18-A-17/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-17/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-19/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-19/ASM0002_ASM-1/PRT0006-1,Origin_joint_11,Axis_joint_11,joint_11,continuous,0,-0.0417999999999986,0,0,0,0,right_leg_link_1,1,0,0,,,,,,,,,,,,0
right_leg_link_3,0.0139999999999992,0.033556383206639,0.0151934897642461,0,0,0,0.00701486534628872,5.15587753735927E-06,-9.01301367785349E-20,-3.29402345415169E-20,3.83307916350282E-06,-4.239878651166E-07,7.34905050588703E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_3.STL,,FR04-H120-1,Origin_joint_13,Axis_joint_13,joint_13,continuous,0,-0.0744000000000003,-0.0145000000000005,0,0,3.14159265358979,right_leg_link_2,1,0,0,,,,,,,,,,,,0
right_leg_link_4,-0.013367992566117,0.021128064175969,0.0130554015027962,0,0,0,0.0856772163480855,2.17028956622458E-05,7.38010696000589E-20,-2.01342587194584E-07,2.20441592245027E-05,1.82085534033284E-07,1.30559757952079E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_4.STL,,FR04-X101-1;AX-12-18-A-20/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-20/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-22/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-22/ASM0002_ASM-1/PRT0006-1,Origin_joint_15,Axis_joint_15,joint_15,continuous,0,0.0750000000000001,0.0145000000000001,-1.5707963267949,0,3.14159265358979,right_leg_link_3,1,0,0,,,,,,,,,,,,0
right_leg_link_5,0.00019999999245765,-0.0271016298640741,0.00578156165290505,0,0,0,0.0145032303847988,5.46558889534123E-06,6.68151328032904E-17,6.34590015245093E-16,1.36797822725631E-05,6.2359304030406E-15,9.53948774258591E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/right_leg_link_5.STL,,FR04-H101-1;FR04-E160-1,Origin_joint_17,Axis_joint_17,joint_17,continuous,-0.0138000000000001,0,-9.99999999998225E-05,1.5707963267949,0,-1.5707963267949,right_leg_link_4,1,0,0,,,,,,,,,,,,0
left_leg_link_1,-0.013043369069326,-0.0023848922728219,-0.000953577437985048,0,0,0,0.0465444227419532,7.24109241174826E-06,3.44088455785096E-08,-1.90926615293941E-07,1.32071311548595E-05,-1.46766022304932E-09,1.18450916288587E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_1.STL,,FR04-HC110-2;AX-12-18-A-11/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-11/ASM0002_ASM-1/PRT0006-1,Origin_joint_10,Axis_joint_10,joint_10,continuous,0.016,-0.0535000000000007,0,3.14159265358979,0,-3.14159265358979,torso_link,0,0,1,,,,,,,,,,,,0
left_leg_link_2,0.0129843075495947,-0.0437004601006425,-0.000498115824281317,0,0,0,0.0873959659250778,2.07330711638691E-05,-1.92394275517068E-07,1.89458955071035E-07,1.89034952338267E-05,-7.78205227092262E-08,1.89379045179428E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_2.STL,,FR04-SC110-2;AX-12-18-A-16/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-16/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-18/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-18/ASM0002_ASM-1/PRT0006-1,Origin_joint_12,Axis_joint_12,joint_12,continuous,0,-0.0418000000000006,0,3.14159265358979,0,-3.14159265358979,left_leg_link_1,1,0,0,,,,,,,,,,,,0
left_leg_link_3,-0.0140000000000141,0.033556383206639,0.0151934897642235,0,0,0,0.00701486534628871,5.15587753735929E-06,3.00169106894943E-19,-2.11112943042033E-18,3.83307916350282E-06,-4.23987865116591E-07,7.34905050588705E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_3.STL,,FR04-H120-2,Origin_joint_14,Axis_joint_14,joint_14,continuous,0,-0.0744,-0.0145000000000106,0,0,3.14159265358979,left_leg_link_2,1,0,0,,,,,,,,,,,,0
left_leg_link_4,0.0134001731396108,0.0210958836024548,0.0130554015027964,0,0,0,0.0856772163480854,2.17028956622458E-05,-2.49305070674128E-19,1.80510643393119E-07,2.20441592245027E-05,2.02917477834769E-07,1.30559757952079E-05,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_4.STL,,FR04-X101-2;AX-12-18-A-21/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-21/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-23/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-23/ASM0002_ASM-1/PRT0006-1,Origin_joint_16,Axis_joint_16,joint_16,continuous,0,0.075,0.0144999999999907,-1.5707963267949,0,-3.14159265358979,left_leg_link_3,1,0,0,,,,,,,,,,,,0
left_leg_link_5,-0.000199999992473984,0.0271016298640752,-0.00578156174805475,0,0,0,0.014503230384799,5.46558889534131E-06,6.68360831282716E-17,-6.3555949897209E-16,1.36797822725632E-05,-6.23589259745198E-15,9.53948774258595E-06,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp3/meshes/left_leg_link_5.STL,,FR04-H101-2;FR04-E160-2,Origin_joint_18,Axis_joint_18,joint_18,continuous,0.0137999999999867,0,-9.9999999999989E-05,-1.5707963267949,0,1.5707963267949,left_leg_link_4,1,0,0,,,,,,,,,,,,0
