Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00352782932313565,-8.76566958775415E-10,0.00275873081896998,0,0,0,0.114720951662211,5.10425267933586E-05,-2.31623835059759E-13,-2.01546265914931E-07,3.59182635832798E-05,3.0064333684875E-09,6.20327453583673E-05,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/base_link.STL,,FR04-E175-1;FR04-E120-1;AX-12-18-A-2;AX-12-18-A-4;FR04-E150-1,Coordinate System1,Axis_joint_203,joint_20,continuous,0.00025,0,0.017247,3.1416,0,-1.6319,base_linK,0,0,1,,,,,,,,,,,,0
right_arm_link_1,-6.0704390847377E-08,-0.00923206723925162,0.00517864249847517,0,0,0,0.00402029367652144,8.53462226825601E-07,1.70481193077044E-12,-1.05162132032576E-12,1.77130321667598E-06,2.51193243950455E-07,1.69099459342748E-06,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_arm_link_1.STL,,FR04-H102-2,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.00874999999999916,-0.0564904194241623,0.00274999999997069,3.14159265358979,0,3.14159265358979,base_link,0,1,0,,,,,,,,,,,,0
right_arm_link_2,-0.000501890512671133,-0.035219108255101,0.003125589769726,0,0,0,0.0883642393517848,2.19001716690432E-05,-8.80921683803924E-09,-1.89476813249764E-07,1.85292934705817E-05,2.01292818032304E-07,1.67002940787384E-05,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-10;AX-12-18-A-8,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.0230095805758359,0.0179999999999591,-1.5707963267949,0,1.5707963267949,right_arm_link_1,0,0,1,,,,,,,,,,,,0
right_arm_link_3,0.0041575209563442,0.0477168328995845,-0.0163264630771301,0,0,0,0.0124405169193281,1.01511820933173E-05,-7.57219531539408E-09,-1.05248183888475E-12,3.65282468945603E-06,2.51193224626465E-07,9.92898397139805E-06,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_arm_link_3.STL,,FR04-H102-3;FR04-E180-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182000000000002,1.5707963267949,0,3.14159265358979,right_arm_link_2,1,0,0,,,,,,,,,,,,0
left_arm_link_1,-6.0704389209798E-08,-0.00923206723925153,0.00517864249847643,0,0,0,0.00402029367652138,8.53462226825598E-07,1.70481192908506E-12,-1.05162131942586E-12,1.77130321667596E-06,2.51193243950454E-07,1.69099459342747E-06,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/left_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/left_arm_link_1.STL,,FR04-H102-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0.00874999999999916,0.0564904194241644,0.00274999999997087,3.14159265358979,0,0,base_link,0,1,0,,,,,,,,,,,,0
left_arm_link_2,0.000472372493798875,-0.0352486262739742,0.00312558976972632,0,0,0,0.0883642393517847,2.19001716690432E-05,-8.80921683803432E-09,1.92483601194287E-07,1.85292934705817E-05,1.80667596411732E-07,1.67002940787383E-05,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/left_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/left_arm_link_2.STL,,FR04-SC101-4;AX-12-18-A-9;AX-12-18-A-7,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230095805758357,0.0179999999999604,-1.5707963267949,0,-1.5707963267949,left_arm_link_1,0,0,1,,,,,,,,,,,,0
left_arm_link_3,-0.00415756019096623,0.0477168328995841,-0.0163264631919699,0,0,0,0.0124405169193281,1.01511820933173E-05,7.5756049392591E-09,-1.05248182180574E-12,3.65282468945609E-06,2.51193263274452E-07,9.92898397139807E-06,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/left_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/left_arm_link_3.STL,,FR04-H102-4;FR04-E180-2,Origin_joint_6,Axis_joint_6,joint_6,continuous,0,-0.0573999999999997,0.0182000000000009,1.5707963267949,0,3.14159265358979,left_arm_link_2,1,0,0,,,,,,,,,,,,0
torso_link,2.63162407811504E-08,0.032409044434122,-0.00131922984856171,0,0,0,0.0150306588580906,1.22995746902599E-05,-5.3600412066856E-12,4.57561653863303E-15,1.26743899445148E-05,-4.84169136516324E-07,1.42781332295549E-05,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/torso_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/torso_link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,fixed,0.00825000000000042,0,-0.0737500000000006,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
right_leg_link_1,-0.0129819085295126,-0.0022850043517216,0.000908026149630939,0,0,0,0.047405027669223,7.27334637836052E-06,5.51374282894487E-08,1.90980207222021E-07,1.32375639686867E-05,-1.50339397226268E-09,1.18495804679192E-05,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.0160000000000004,0,0,0,0,0,torso_link,0,0,1,,,,,,,,,,,,0
right_leg_link_2,-0.0130339683821673,-0.0436380731762435,-0.000505151739104454,0,0,0,0.0891171757796175,2.07420488419902E-05,1.89476813249685E-07,-1.92483601194147E-07,1.89661820142661E-05,-7.78205227092254E-08,1.90005912983823E-05,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg1/meshes/right_leg_link_2.STL,,FR04-SC110-1;AX-12-18-A-17;AX-12-18-A-19,Origin_joint_11,Axis_joint_11,joint_11,continuous,0,-0.0417999999999986,0,0,0,0,right_leg_link_1,1,0,0,,,,,,,,,,,,0
