Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.020929,0.0003067,-0.010821,0,0,0,0.38847,0.00037179,-3.8113E-07,-5.6596E-06,0.00025726,-3.3879E-07,0.00023648,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/base_link.STL,,jetson-nano-case-1;CHEAST-2;FR04-E120-1;AX-12-18-A-2;AX-12-18-A-4;FR04-E150-1;AX-12-18-A-6;AX-12-18-A-26,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_arm_link_1,-6.0704E-08,-0.0092321,0.0051786,0,0,0,0.0040203,8.5346E-07,1.7048E-12,-1.0516E-12,1.7713E-06,2.5119E-07,1.691E-06,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_arm_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_arm_link_1.STL,,FR04-H102-2,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.00875,-0.05649,0.00275,3.1416,0,3.1416,base_link,0,1,0,,,,,,,,,,,,
right_arm_link_2,-0.00050189,-0.035219,0.0031256,0,0,0,0.088364,2.19E-05,-8.8092E-09,-1.8948E-07,1.8529E-05,2.0129E-07,1.67E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_arm_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-10;AX-12-18-A-8,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.02301,0.018,-1.5708,0,1.5708,right_arm_link_1,0,0,1,,,,,,,,,,,,
right_arm_link_3,0.0062081,0.042396,-0.016804,0,0,0,0.053418,1.0779E-05,2.3649E-08,1.9098E-07,1.4518E-05,2.4969E-07,1.4395E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_arm_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_arm_link_3.STL,,FR04-H102-3;BASE_GRIPPER-1;FR04-E170-2;AX-12-18-A-24,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182,1.5708,0,3.1416,right_arm_link_2,1,0,0,,,,,,,,,,,,
right_gripper,0.018,-0.0062404,0.036135,0,0,0,0.0088243,7.4613E-06,-2.1839E-11,-7.8633E-12,9.3608E-06,-1.8805E-06,4.6829E-06,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_gripper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_gripper.STL,,FR04-E171-2,Origin_joint_7,Axis_joint_7,joint_7,continuous,0.0225,0.0425,0,1.5707963267949,1.5707963267949,0,right_arm_link_3,1,0,0,,,,,,,,,,,,
left_arm_link_1,-6.0704E-08,-0.0092321,0.0051786,0,0,0,0.0040203,8.5346E-07,1.7048E-12,-1.0516E-12,1.7713E-06,2.5119E-07,1.691E-06,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_arm_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_arm_link_1.STL,,FR04-H102-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0.00875,0.05649,0.00275,3.1416,0,0,base_link,0,1,0,,,,,,,,,,,,
left_arm_link_2,-0.035249,0.0031256,0.00047237,0,0,0,0.088364,1.8529E-05,1.8067E-07,-8.8092E-09,1.67E-05,1.9248E-07,2.19E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_arm_link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_arm_link_2.STL,,AX-12-18-A-9;FR04-SC101-4;AX-12-18-A-7,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230095805758357,0.0179999999999604,1.5707963267949,1.5707963267949,0,left_arm_link_1,0,1,0,,,,,,,,,,,,
left_arm_link_3,-0.0062081,0.042347,-0.016804,0,0,0,0.053418,1.0779E-05,-3.02E-09,-1.9098E-07,1.4518E-05,2.527E-07,1.4395E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_arm_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_arm_link_3.STL,,FR04-H102-4;BASE_GRIPPER-2;FR04-E170-1;AX-12-18-A-25,Origin_joint_6,Axis_joint_6,joint_6,continuous,-0.0573999999999997,0.0182000000000009,0,0,1.5707963267949,0,left_arm_link_2,1,0,0,,,,,,,,,,,,
left_gripper,-0.018,-0.0062404,0.036135,0,0,0,0.0088243,7.4613E-06,-2.1839E-11,-7.8633E-12,9.3608E-06,-1.8805E-06,4.6829E-06,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_gripper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/left_gripper.STL,,FR04-E171-1,Origin_joint_8,Axis_joint_8,joint_8,continuous,-0.0225000000000029,0.0424999999999997,0,1.5707963267949,-1.5707963267949,0,left_arm_link_3,1,0,0,,,,,,,,,,,,
torso_link,2.63162406857406E-08,-0.0210909555658785,-0.00131922984856178,0,0,0,0.0150306588580906,1.22995746902599E-05,-5.36004118527771E-12,4.57561805749191E-15,1.26743899445149E-05,-4.84169136516332E-07,1.42781332295549E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/torso_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/torso_link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,continuous,0.00825,0,-0.05725,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,
right_leg_link_1,-0.0129819085295125,-0.00228500435172165,0.000908026149630328,0,0,0,0.047405027669223,7.27334637836052E-06,5.51374282894484E-08,1.90980207222024E-07,1.32375639686867E-05,-1.50339397226202E-09,1.18495804679192E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.016,-0.0535000000000006,0,0,0,0,torso_link,0,0,1,,,,,,,,,,,,
right_leg_link_2,-0.0130339683821673,-0.0436380731762437,-0.000505151739103829,0,0,0,0.0891171757796176,2.07420488419902E-05,1.89476813249674E-07,-1.92483601194151E-07,1.89661820142661E-05,-7.78205227092184E-08,1.90005912983823E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_2.STL,,FR04-SC110-1;AX-12-18-A-17;AX-12-18-A-19,Origin_joint_11,Axis_joint_11,joint_11,continuous,0,-0.0417999999999987,0,0,0,0,right_leg_link_1,1,0,0,,,,,,,,,,,,
right_leg_link_3,0.0139999999999994,0.0335563832066388,0.0151934897642466,0,0,0,0.00701486534628873,5.15587753735929E-06,-9.64472061952054E-20,-3.356938423376E-20,3.83307916350284E-06,-4.23987865116651E-07,7.34905050588704E-06,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_3.STL,,FR04-H120-1,Origin_joint_13,Axis_joint_13,joint_13,continuous,0,-0.0744000000000003,-0.0144999999999987,0,0,3.14159265358979,right_leg_link_2,1,0,0,,,,,,,,,,,,
right_leg_link_4,-0.0133946384168482,0.0211528090768007,0.0129875072823342,0,0,0,0.0873984262026251,2.17378173151335E-05,7.47586135809127E-20,-2.01292818032275E-07,2.20790808773904E-05,1.82242487051738E-07,1.31204837284324E-05,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_4.STL,,FR04-X101-1;AX-12-18-A-20;AX-12-18-A-22,Origin_joint_15,Axis_joint_15,joint_15,continuous,0,0.0749999999999997,0.0145000000000012,-1.57079632679491,0,-3.14159265358979,right_leg_link_3,1,0,0,,,,,,,,,,,,
right_leg_link_5,-0.00578156165290394,-0.0271016298640757,0.0001999999924545,0,0,0,0.0145032303847989,9.53948774258595E-06,-6.23592491414207E-15,-6.34588901452735E-16,1.36797822725632E-05,6.68055590641044E-17,5.46558889534128E-06,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_social_robot/meshes/right_leg_link_5.STL,,FR04-E160-1;FR04-H101-1,Origin_joint_17,Axis_joint_17,joint_17,continuous,-0.0138000000000002,0,-9.99999999997669E-05,1.57079632679491,0,0,right_leg_link_4,0,0,1,,,,,,,,,,,,
