Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_linK,-0.00597111269746017,2.42873429701085E-13,0.00803112203996735,0,0,0,0.197310024404685,0.000225464933012639,1.10285365860214E-08,8.85680062206937E-06,0.00011955864066369,4.41132329846465E-08,0.0002073725918361,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/base_linK.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/base_linK.STL,,FR04-E120-1;FR04-E150-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-26/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-6/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-26/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-6/ASM0002_ASM-1/PRT0006-1,Coordinate System1,Axis_joint_203,joint_20,continuous,0.00025,0,0.017247,3.1416,0,-1.6319,base_linK,0,0,1,,,,,,,,,,,,0
right_arm_link_1,-5.99523879707409E-08,-0.0092517241686121,0.00509147632820952,0,0,0,0.00431248529357434,8.70633126050822E-07,1.77301380087765E-12,-1.00611738981066E-12,1.89328168631898E-06,2.56388149762672E-07,1.81662338069163E-06,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_arm_link_1.STL,,FR04-H102-2,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.00874999999999913,-0.0564909335310514,0.00275000000000069,3.14159265358979,0,3.14159265358979,base_linK,0,1,0,,,,,,,,,,,,0
right_arm_link_2,-0.000528170885429072,-0.035251825072309,0.00311828635700788,0,0,0,0.0866430354377455,6.4761924185407E-05,-9.60813329605431E-07,1.88358990654775E-07,1.98963286836706E-05,3.91875640809218E-06,5.89621039609704E-05,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-8/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-8/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0006-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.0230090664689468,0.0179999999999891,-1.5707963267949,0,1.5707963267949,right_arm_link_1,0,0,1,,,,,,,,,,,,0
right_arm_link_3,-0.00606576438623159,0.0422353648311166,0.0167447249251931,0,0,0,0.0528495144448317,1.88542572569392E-05,-2.20683878391148E-06,-1.172956194386E-07,1.87100847753974E-05,-8.67725862020746E-07,2.5771340096243E-05,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_arm_link_3.STL,,BASE_GRIPPER-1;FR04-H102-3;AX-12-18-A-24/ASM0002_ASM-1/PRT0001-1;FR04-E170-2;AX-12-18-A-24/ASM0002_ASM-1/PRT0006-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182000000000002,1.5707963267949,0,0,right_arm_link_2,1,0,0,,,,,,,,,,,,0
right_gripper,0.0179998120299161,-0.00624035209800906,0.0361347174477126,0,0,0,0.00882433124339025,7.46132223751768E-06,-2.18389626500294E-11,-7.86332274748643E-12,9.36079581691153E-06,-1.88054352881293E-06,4.68291021353321E-06,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_gripper.STL,,FR04-E171-2,Origin_joint_7,Axis_joint_7,joint_7,continuous,-0.0224999999999999,0.0425,0,1.5707963267949,-1.5707963267949,0,right_arm_link_3,1,0,0,,,,,,,,,,,,0
left_arm_link_1,-5.99523863470397E-08,-0.00925172416861354,0.00509147632820985,0,0,0,0.00431248529357434,8.70633126050824E-07,1.77301379736504E-12,-1.00611738925695E-12,1.89328168631898E-06,2.56388149762673E-07,1.81662338069164E-06,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_arm_link_1.STL,,FR04-H102-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0.00874999999999915,0.0564909335310519,0.00275,3.14159265358979,0,0,base_linK,0,1,0,,,,,,,,,,,,0
left_arm_link_2,0.000496349118212114,-0.0352836468395269,0.00311828635700813,0,0,0,0.0866430354377454,6.48839674431359E-05,1.0038567960211E-06,-1.92543807437855E-07,1.98991534231237E-05,3.90314394747213E-06,5.90869719581521E-05,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_arm_link_2.STL,,FR04-SC101-4;AX-12-18-A-7/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-7/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0006-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230090664689482,0.0179999999999895,-1.5707963267949,0,-1.5707963267949,left_arm_link_1,0,0,1,,,,,,,,,,,,0
left_arm_link_3,0.00606577417038441,0.0421831952977966,0.0167447249221345,0,0,0,0.0528495144448317,1.88526541486023E-05,2.19496656091265E-06,1.1729558692268E-07,1.87100785019237E-05,-8.68677608830887E-07,2.5769730715244E-05,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_arm_link_3.STL,,BASE_GRIPPER-2;FR04-H102-4;AX-12-18-A-25/ASM0002_ASM-1/PRT0001-1;FR04-E170-1;AX-12-18-A-25/ASM0002_ASM-1/PRT0006-1,Origin_joint_6,Axis_joint_6,joint_6,continuous,0,-0.0573999999999997,0.018200000000001,1.5707963267949,0,0,left_arm_link_2,1,0,0,,,,,,,,,,,,0
left_gripper,-0.0180001879700939,-0.00624035209800411,0.0361347174477271,0,0,0,0.00882433124339503,7.46132223752179E-06,-2.1838961809922E-11,-7.86332015471738E-12,9.36079581691706E-06,-1.88054352881412E-06,4.68291021353545E-06,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/left_gripper.STL,,FR04-E171-1,Origin_joint_8,Axis_joint_8,joint_8,continuous,0.0225000000000024,0.0425,0,1.5707963267949,1.5707963267949,0,left_arm_link_3,1,0,0,,,,,,,,,,,,0
torso_Link,1.22991894446756E-15,-0.0218346005747998,-0.00143510443579974,0,0,0,0.0175904238224438,1.39256548782639E-05,-7.47337320739357E-20,2.87959003007381E-19,1.43256116030718E-05,-5.19258251727891E-07,1.52021771794982E-05,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/torso_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/torso_Link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,continuous,0.00824999999999999,0,-0.02375,1.5707963267949,0,1.5707963267949,base_linK,0,1,0,,,,,,,,,,,,0
right_leg_link_1,-0.0130433686111558,-0.00232565541955652,0.000953578453528892,0,0,0,0.0465444257122034,9.99235737792942E-06,-1.71936981719273E-07,-9.99819793167413E-08,1.38273935535504E-05,-1.05427694515858E-07,1.4421418206511E-05,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BIOLOIDGPURDF/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0006-1,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.016,-0.0535000000000007,0,0,0,0,torso_Link,0,0,1,,,,,,,,,,,,0
