Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0035591008299314,-8.90355070053139E-10,0.00276509793124121,0,0,0,0.112944377177652,0.000168605700838162,6.06749094591301E-14,-6.6677759445824E-07,4.75792084333204E-05,1.02293920813143E-07,0.000181735093916493,0,0,0,0,0,0,package://BioloidGP1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/base_link.STL,,FR04-E120-1;FR04-E150-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0006-1;FR04-E175-1,Coordinate System1,Axis_joint_203,joint_20,continuous,0.00025,0,0.017247,3.1416,0,-1.6319,base_linK,0,0,1,,,,,,,,,,,,0
right_arm_link_1,-6.07043906392102E-08,-0.00923206723925009,0.00517864249850522,0,0,0,0.00402029367652139,8.53462226825599E-07,1.70481192747438E-12,-1.05162131649618E-12,1.77130321667596E-06,2.51193243950454E-07,1.69099459342747E-06,0,0,0,0,0,0,package://BioloidGP1/meshes/right_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/right_arm_link_1.STL,,FR04-H102-2,,,joint_1,continuous,0.00875,-0.05649,0.00275,3.1416,0,3.1416,base_link,0,1,0,,,,,,,,,,,,0
right_arm_link_2,-0.000528170885429058,-0.035251825072309,0.00311828635700782,0,0,0,0.0866430354377454,6.47619241854069E-05,-9.60813329605406E-07,1.88358990654773E-07,1.98963286836706E-05,3.9187564080922E-06,5.89621039609704E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/right_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-8/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-8/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0006-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.0230095805758343,0.0179999999999891,-1.5707963267949,0,1.5707963267949,right_arm_link_1,0,0,1,,,,,,,,,,,,0
right_arm_link_3,0.00415752095634415,0.0477168328995841,-0.0163264630771301,0,0,0,0.0124405169193281,1.70660909071357E-05,-8.45712099815589E-07,8.65583980393305E-08,3.82847231662494E-06,9.57798432211577E-07,1.68735901762123E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/right_arm_link_3.STL,,FR04-H102-3;FR04-E180-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182000000000002,1.5707963267949,0,3.14159265358979,right_arm_link_2,1,0,0,,,,,,,,,,,,0
left_arm_link_1,-6.07043893763315E-08,-0.00923206723925159,0.00517864249850559,0,0,0,0.00402029367652138,8.53462226825601E-07,1.70481193069366E-12,-1.05162131991083E-12,1.77130321667596E-06,2.51193243950455E-07,1.69099459342747E-06,0,0,0,0,0,0,package://BioloidGP1/meshes/left_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/left_arm_link_1.STL,,FR04-H102-1,,,joint_2,continuous,0.00875,0.05649,0.00275,3.1416,0,0,base_link,0,1,0,,,,,,,,,,,,0
left_arm_link_2,0.000496349118212128,-0.0352836468395269,0.00311828635700817,0,0,0,0.0866430354377454,6.48839674431359E-05,1.0038567960211E-06,-1.92543807437857E-07,1.98991534231237E-05,3.90314394747216E-06,5.90869719581521E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/left_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/left_arm_link_2.STL,,FR04-SC101-4;AX-12-18-A-7/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-7/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0006-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230095805758357,0.0179999999999895,-1.5707963267949,0,-1.5707963267949,left_arm_link_1,0,0,1,,,,,,,,,,,,0
left_arm_link_3,-0.00415756019096622,0.0477168328995843,-0.0163264631919699,0,0,0,0.0124405169193281,1.70660909119176E-05,8.45698943693171E-07,-8.65587950005694E-08,3.8284682628244E-06,9.577984940105E-07,1.68735861176298E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/left_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/left_arm_link_3.STL,,FR04-H102-4;FR04-E180-2,Origin_joint_6,Axis_joint_6,joint_6,continuous,0,-0.0573999999999997,0.018200000000001,1.5707963267949,0,3.14159265358979,left_arm_link_2,1,0,0,,,,,,,,,,,,0
torso_link,2.63162407811504E-08,0.032409044434122,-0.0013192298485617,0,0,0,0.0150306588580906,1.22995746902599E-05,-5.36004120680696E-12,4.57561650473814E-15,1.26743899445148E-05,-4.84169136516325E-07,1.42781332295549E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/torso_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/torso_link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,fixed,0.00825000000000042,0,-0.0737500000000006,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
right_leg_link_1,-0.0130433686111558,-0.00232565541955651,0.000953578453529058,0,0,0,0.0465444257122034,9.99235737792943E-06,-1.71936981719275E-07,-9.99819793167431E-08,1.38273935535504E-05,-1.05427694515852E-07,1.4421418206511E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0006-1,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.0160000000000004,0,0,0,0,0,torso_link,0,0,1,,,,,,,,,,,,0
right_leg_link_2,-0.0129843064721741,-0.0436689122000604,-0.000466568425913194,0,0,0,0.0873959718655783,0.000100908919843482,-9.75038892913115E-08,1.21010276925622E-07,2.02236717680155E-05,-2.2364834493842E-06,9.9372950635236E-05,0,0,0,0,0,0,package://BioloidGP1/meshes/right_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BioloidGP1/meshes/right_leg_link_2.STL,,FR04-SC110-1;AX-12-18-A-17/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-17/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-19/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-19/ASM0002_ASM-1/PRT0006-1,Origin_joint_11,Axis_joint_11,joint_11,continuous,0,-0.0417999999999986,0,0,0,0,right_leg_link_1,1,0,0,,,,,,,,,,,,0
