Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00383149781672336,-8.90176803828094E-06,0.000985343148474867,0,0,0,0.154876147614574,5.72237172613389E-05,-1.0416203519941E-08,-3.9259029824417E-07,4.7371081001121E-05,1.46730564833216E-09,7.19614573061766E-05,0,0,0,0,0,0,package://bioloid_gp2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/base_link.STL,,FR04-E120-1;FR04-E150-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-6/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-4/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-2/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-6/ASM0002_ASM-1/PRT0006-1;FR04-E175-1,Coordinate System1,Axis_joint_203,joint_20,continuous,0.00025,0,0.017247,3.1416,0,-1.6319,base_linK,0,0,1,,,,,,,,,,,,0
right_arm_link_1,-6.07043906669658E-08,-0.00923206723925007,0.00517864249850522,0,0,0,0.00402029367652139,8.53462226825597E-07,1.70481192756118E-12,-1.05162131712554E-12,1.77130321667596E-06,2.51193243950453E-07,1.69099459342747E-06,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_arm_link_1.STL,,FR04-H102-2,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.00875,-0.05649,0.00275,3.1416,0,3.1416,base_link,0,1,0,,,,,,,,,,,,0
right_arm_link_2,-0.000528170386428509,-0.0352518252774792,0.00311828556966413,0,0,0,0.0866430294972451,2.18652500161555E-05,-8.94831167760345E-09,-1.89458955070911E-07,1.84666066901423E-05,2.01342587194597E-07,1.66635512730656E-05,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-8/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-8/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-10/ASM0002_ASM-1/PRT0006-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.02301,0.018,-1.5708,0,1.5708,right_arm_link_1,0,0,1,,,,,,,,,,,,0
right_arm_link_3,0.00415752095634411,0.0477168328995842,-0.01632646307713,0,0,0,0.0124405169193281,1.01511820933173E-05,-7.57219531539254E-09,-1.05248182571994E-12,3.65282468945606E-06,2.51193224626462E-07,9.92898397139803E-06,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_arm_link_3.STL,,FR04-H102-3;FR04-E180-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182,1.5708,0,3.1416,right_arm_link_2,1,0,0,,,,,,,,,,,,0
left_arm_link_1,-6.07043893208203E-08,-0.00923206723925157,0.00517864249850554,0,0,0,0.00402029367652142,8.534622268256E-07,1.70481192931295E-12,-1.05162131770511E-12,1.77130321667597E-06,2.51193243950455E-07,1.69099459342748E-06,0,0,0,0,0,0,package://bioloid_gp2/meshes/left_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/left_arm_link_1.STL,,FR04-H102-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0.00874999999999918,0.0564904194241643,0.00275,3.14159265358979,0,0,base_link,0,1,0,,,,,,,,,,,,0
left_arm_link_2,0.00049634853098135,-0.0352836471329275,0.00311828556966444,0,0,0,0.086643029497245,2.18652500161555E-05,-8.94831167760709E-09,1.92394275517003E-07,1.84666066901423E-05,1.80510643393301E-07,1.66635512730656E-05,0,0,0,0,0,0,package://bioloid_gp2/meshes/left_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/left_arm_link_2.STL,,FR04-SC101-4;AX-12-18-A-7/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-7/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-9/ASM0002_ASM-1/PRT0006-1,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230095805758357,0.0179999999999895,-1.5707963267949,0,-1.5707963267949,left_arm_link_1,0,0,1,,,,,,,,,,,,0
left_arm_link_3,-0.00415756019096623,0.0477168328995842,-0.01632646319197,0,0,0,0.0124405169193281,1.01511820933173E-05,7.5756049392595E-09,-1.05248182347035E-12,3.65282468945605E-06,2.51193263274455E-07,9.92898397139804E-06,0,0,0,0,0,0,package://bioloid_gp2/meshes/left_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/left_arm_link_3.STL,,FR04-H102-4;FR04-E180-2,Origin_joint_6,Axis_joint_6,joint_6,continuous,0,-0.0573999999999997,0.0182000000000009,1.5707963267949,0,3.14159265358979,left_arm_link_2,1,0,0,,,,,,,,,,,,0
torso_link,2.63162408644171E-08,-0.0210909555658786,-0.00131922984856178,0,0,0,0.0150306588580905,1.22995746902599E-05,-5.36004121723515E-12,4.57562055736353E-15,1.26743899445148E-05,-4.84169136516331E-07,1.42781332295548E-05,0,0,0,0,0,0,package://bioloid_gp2/meshes/torso_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/torso_link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,continuous,0.00825,0,-0.02375,1.5708,0,1.5708,base_link,0,1,0,,,,,,,,,,,,0
right_leg_link_1,-0.0130433690693261,-0.00232565548787901,0.000953577437985006,0,0,0,0.0465444227419532,7.24109241174825E-06,5.52407893798032E-08,1.90926615293957E-07,1.32071311548595E-05,-1.46766022304701E-09,1.18450916288587E-05,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-13/ASM0002_ASM-1/PRT0006-1,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.016,-0.0535,0,0,0,0,torso_link,0,0,1,,,,,,,,,,,,0
right_leg_link_2,-0.0129843075496472,-0.0436689123978273,-0.000466568121460592,0,0,0,0.087395965925078,2.07330711638692E-05,1.89458955070841E-07,-1.92394275516861E-07,1.89034952338267E-05,-7.78205227092139E-08,1.89379045179429E-05,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloid_gp2/meshes/right_leg_link_2.STL,,FR04-SC110-1;AX-12-18-A-17/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-17/ASM0002_ASM-1/PRT0006-1;AX-12-18-A-19/ASM0002_ASM-1/PRT0001-1;AX-12-18-A-19/ASM0002_ASM-1/PRT0006-1,Origin_joint_11,Axis_joint_11,joint_11,continuous,0,-0.0417999999999986,0,0,0,0,right_leg_link_1,1,0,0,,,,,,,,,,,,0
